key,term,definition,same_as,uri
pagus,pagus,"A rural district in the Roman world including scattered hamlets or villages that can be referred to as vici. Alternatively, pagus can be construed as a fortified center in such a district.",,https://pleiades.stoa.org/vocabularies/place-types/pagus
palace,palace,"A palace as defined by the Getty Art and Architecture Thesaurus: Official residences, frequently large and impressively appointed, of sovereigns or other high dignitaries",,https://pleiades.stoa.org/vocabularies/place-types/palace
palace-complex,palace complex,A palace complex as defined by the Getty Art and Architecture Thesaurus: Complexes of built works surrounding the palace or palaces of a ruler,,https://pleiades.stoa.org/vocabularies/place-types/palace-complex
palaestra,palaestra,"A palaestra as defined by the Getty Art and Architecture Thesaurus: ""Ancient Greek or Roman buildings for training in wrestling or other athletic endeavors. Palaestrae were often part of public gymnasia, although some functioned independently. The floorplan of palaestrae was standardized, usually comprising a rectangular court surrounded by colonnades with adjoining rooms devoted to activities such as undressing, bathing, socializing, observation, instruction, and storage.""",,https://pleiades.stoa.org/vocabularies/place-types/palaestra
palaistra,palaistra,"A square or rectangular court, usually surrounded by colonnades, that formed part of a Greek-style athletic complex.",,https://pleiades.stoa.org/vocabularies/place-types/palaistra
paradise-garden,"paradise garden, park","A paradise garden as defined by the Getty Art and Architecture Thesaurus: ""Gardens often provided with shade, flowing water, pavilions, and elaborate plantings for private enjoyment; common in Islamic countries.""",,https://pleiades.stoa.org/vocabularies/place-types/paradise-garden
pass,"pass, ""gates"" (landform)",A pass as defined by the Getty Art and Architecture Thesaurus: Refers to narrow routes through or gaps in mountain ranges allowing passage across.,,https://pleiades.stoa.org/vocabularies/place-types/pass
peninsula,peninsula,"A peninsula as defined by the Getty Art and Architecture Thesaurus: ""Landforms surrounded by water on three sides, not completey independent from the mainland.""",,https://pleiades.stoa.org/vocabularies/place-types/peninsula
people,"people, tribe (historical cultural group)","A historical cultural group as defined by the Getty Art and Architecture Thesaurus: Societies or groups of people who once existed and were characterized by common ideas, customs, or social behavior within a particular nation or people and period.",,https://pleiades.stoa.org/vocabularies/place-types/people
piscina-roman,"piscina (pool, Roman)","A Roman piscina as defined by the Getty Art and Architecture Thesaurus: ""A reservoir of water used as a swimming pool or fish pond inside a Roman home or public bath.""",,https://pleiades.stoa.org/vocabularies/place-types/piscina-roman
pit,pit,"A pit as defined by the Getty Art and Architecture Thesaurus: Cavities in the earth, usually not below ground water level, that are shallow in proportion to their width and generally created for materials extraction or burial.",,https://pleiades.stoa.org/vocabularies/place-types/pit
place,place (distinct area),"A place as defined by the Getty Art and Architecture Thesaurus: ""A space or area within the lived world of daily experience, perceived as distinct and unified, and possessing emotional, purposive, and social connotations along with physical features and characteristics.""",,https://pleiades.stoa.org/vocabularies/place-types/place
plain,plain,"A plain as defined by the Getty Art and Architecture Thesaurus: ""Extensive areas of land having few inequalities of surface, being usually fairly flat and at low elevation.""",,https://pleiades.stoa.org/vocabularies/place-types/plain
plateau,plateau,"an area of relatively level high ground, as described at https://en.wikipedia.org/wiki/Plateau.",,https://pleiades.stoa.org/vocabularies/place-types/plateau
platform,platform,"A platform as defined by the Getty Art and Architecture Thesaurus: Flat surfaces, blocks, or floors, generally raised above the adjoining floor",,https://pleiades.stoa.org/vocabularies/place-types/platform
polis,polis,A polis as defined by the Getty Art and Architecture Thesaurus: An ancient Greek city state.,,https://pleiades.stoa.org/vocabularies/place-types/polis
port,port,,,https://pleiades.stoa.org/vocabularies/place-types/port
portico,portico,"A portico as defined by the Getty Art and Architecture Thesaurus: ""Roofed porchlike spaces, open along at least one side and usually associated with an entrance, supported by columns and often surmounted by a pediment; porticoes may project from the main building mass or be recessed in it.""",,https://pleiades.stoa.org/vocabularies/place-types/portico
postern,postern,"A postern as defined by the Getty Art and Architecture Thesaurus: Secondary, and often inconspicuous back doors or gates, especially to fortified or walled enclosures; may also be used for minor, private or side entrances.",,https://pleiades.stoa.org/vocabularies/place-types/postern
priory,priory,"A priory as defined by the Getty Art and Architecture Thesaurus: independent and canonically erected monasteries, ruled by an abbot if occupied by monks and by an abbess if occupied by nuns.",,https://pleiades.stoa.org/vocabularies/place-types/priory
production,"production center (manufacturing, fishing)",,,https://pleiades.stoa.org/vocabularies/place-types/production
province-2,province,"A province as defined by the Getty Art and Architecture Thesaurus: The constituent political and administrative divisions within various sovereign states, including historic ones such as the Roman Empire and modern nations under a federal system such as Canada and Spain.",,https://pleiades.stoa.org/vocabularies/place-types/province-2
province,"province, diocese, nome (deprecated)",An administrative region,,https://pleiades.stoa.org/vocabularies/place-types/province
prytaneion,prytaneion,"A prytaneion as defined by the Getty Art and Architecture Thesaurus: ""Public halls in ancient Greek cities where the sacred hearth and official headquarters of the city administration were housed and where official guests were entertained.""",,https://pleiades.stoa.org/vocabularies/place-types/prytaneion
pyramid,pyramid,"A pyramid as defined by the Getty Art and Architecture Thesaurus term 300004838: ""Monumental structures with a square or triangular base and inclined triangular sides, usually meeting at a point. The most famous pyramids are those used as mausolea in ancient Egypt; they were focal points of much larger funerary complexes. However, pyramids, usually with flat tops, are also found in Central America, where they were used as platforms for altars or temples, occasionally also covering the burial chamber of a ruler.""",,https://pleiades.stoa.org/vocabularies/place-types/pyramid
quarry,quarry,A quarry as defined by the Getty Art and Architecture Thesaurus: Open-air excavations from which stone for building or other purposes is or has been obtained by cutting or blasting.,,https://pleiades.stoa.org/vocabularies/place-types/quarry
reef,reef,"A reef as defined by the Getty Art and Architecture Thesaurus: Ranges of rock, coral, or sand with their surface at or just above the low tide mark.",,https://pleiades.stoa.org/vocabularies/place-types/reef
regio-augusti,regio (Augustan region of Italia),Geographic district of Italia as defined by the Roman emperor Augustus.,,https://pleiades.stoa.org/vocabularies/place-types/regio-augusti
region,region,"A historical region as defined by the Getty Art and Architecture Thesaurus: ""Areas that were bound in the past by culture, economics, topography, or another characteristic, and that have historical importance.""",,https://pleiades.stoa.org/vocabularies/place-types/region
reservoir,"reservoir, hafir",,,https://pleiades.stoa.org/vocabularies/place-types/reservoir
ridge,ridge,A ridge as defined by the Getty Art and Architecture Thesaurus: Ridges are elongated strips of elevated ground that may be either on dry land or underwater.,,https://pleiades.stoa.org/vocabularies/place-types/ridge
mouth,river mouth,A river mouth as defined by the Getty Art and Architecture Thesaurus: Points where rivers open into larger bodies of water.,,https://pleiades.stoa.org/vocabularies/place-types/mouth
river,"river, drainage","A river as defined by the Getty Art and Architecture Thesaurus: ""Bodies of water flowing in direct course or a series of divergents or converging channels.""",,https://pleiades.stoa.org/vocabularies/place-types/river
road,road,"A road as defined by the Getty Art and Architecture Thesaurus: ""General term referring to all long outdoor passages used by and generally created by humans, intended to allow people to pass between different places, usually one wide enough to admit of the passage of wheeled vehicles, horses, or travellers on foot.""",,https://pleiades.stoa.org/vocabularies/place-types/road
room,room (interior),"A room (interior space) as defined by the Getty Art and Architecture Thesaurus: Refers to the interior portions of buildings or other structures fully separated and divided off from the other portions by a floor, ceiling, and walls or partitions.",,https://pleiades.stoa.org/vocabularies/place-types/room
route,route,"A route as defined by the Getty Art and Architecture Thesaurus: ""Generally, a travelled way or course, from one place to another, whether terrestrial or on water.""",,https://pleiades.stoa.org/vocabularies/place-types/route
ruin,ruin,A ruin as defined by the Getty Art and Architecture Thesaurus: The remains of buildings or groups of buildings that have been destroyed or are in a state of great disrepair or decay.,,https://pleiades.stoa.org/vocabularies/place-types/ruin
salt-pan-salina,"salt pans, salinae","Salt evaporation ponds, also called salterns or salt pans, are shallow artificial ponds designed to extract salts from sea water or other brines, as described at http://en.wikipedia.org/wiki/Salt_evaporation_pond",,https://pleiades.stoa.org/vocabularies/place-types/salt-pan-salina
salt-marsh,salt-marsh,,,https://pleiades.stoa.org/vocabularies/place-types/salt-marsh
sanctuary,sanctuary (religious center),"A sanctuary as defined by the Getty Art and Architecture Thesaurus term 300391482: ""Centers or sites having religious sanctuaries as a primary focus.""",,https://pleiades.stoa.org/vocabularies/place-types/sanctuary
satrapy,satrapy,A satrapy as defined by the Getty Art and Architecture Thesaurus: An administrative division of the Persian empire under the Achaemenid and later administrations.,,https://pleiades.stoa.org/vocabularies/place-types/satrapy
settlement,settlement,"Equivalent to ""inhabited place"" as defined by the Getty Art and Architecture Thesaurus: General term for places or areas occupied, modified, or planned to be inhabited by communities of human populations and that contain enough societal functions to be relatively self-sufficient. They are characterized by inhabitants living in neighboring sets of living quarters and by the place having a proper name or a locally recognized status.",,https://pleiades.stoa.org/vocabularies/place-types/settlement
fortified-settlement,settlement (fortified),"A fortified settlement as defined by the Getty Art and Architecture Thesaurus: Settlements of any kind with defensive structures such as moats, enclosures, or ramparts.",,https://pleiades.stoa.org/vocabularies/place-types/fortified-settlement
settlement-modern,settlement-modern,,,https://pleiades.stoa.org/vocabularies/place-types/settlement-modern
sewer,sewer,A sewer as defined by the Getty Art and Architecture Thesaurus: Underground conduits for carrying away waste and storm water.,,https://pleiades.stoa.org/vocabularies/place-types/sewer
shipshed,shipshed,A shipshed as defined in Wikidata Q120685369: covered slipway for dry-land storage of ancient Greek and Roman warships,,https://pleiades.stoa.org/vocabularies/place-types/shipshed
shrine,shrine,"A shrine as defined by the Getty Art and Architecture Thesaurus term 300007558: ""Structures or large furnishings in which devotion is paid to a statue, picture, saint, deity or other holy objects.""",,https://pleiades.stoa.org/vocabularies/place-types/shrine
siege-mine,siege mine,An excavated area or tunnel associated with sapping and other forms of subterranean and siege warfare.,,https://pleiades.stoa.org/vocabularies/place-types/siege-mine
siege-ramp,siege ramp,A ramp associated with siege warfare tactics.,,https://pleiades.stoa.org/vocabularies/place-types/siege-ramp
slag-heap,slag heap,"A slag heap as defined by the Getty Art and Architecture Thesaurus: Piles of fused refuse or dross separated from metal in the process of smelting; also refers to piles of unwanted tailings or refuse that are the by-products of mining ore, coal, or other substances. Piles of fused refuse or dross separated from metal in the process of smelting; also refers to piles of unwanted tailings or refuse that are the by-products of mining ore, coal, or other substances.",,https://pleiades.stoa.org/vocabularies/place-types/slag-heap
space-exterior-covered,space (exterior covered),"An exterior, covered space as defined by the Getty Art and Architecture Thesaurus: Building spaces that are covered, and located on the exterior of the buildings",,https://pleiades.stoa.org/vocabularies/place-types/space-exterior-covered
space-interior,space (interior),An interior space as defined by the Getty Art and Architecture Thesaurus: Spaces located in the interior of structures,,https://pleiades.stoa.org/vocabularies/place-types/space-interior
space-uncovered,space (uncovered),An uncovered space as defined by the Getty Art and Architecture Thesaurus: Spaces attached to buildings that are uncovered.,,https://pleiades.stoa.org/vocabularies/place-types/space-uncovered
spring,spring,A spring as defined by the Getty Art and Architecture Thesaurus: Water issuing naturally from the rock or soil upon the land or into a body of surface water.,,https://pleiades.stoa.org/vocabularies/place-types/spring
stadion,"stadion, stadium","A space in which the stadion footrace was held, usually consisting of a flat rectangular track about 200 meters long with a starting line at one end and a semicircular area at the other, with seating areas sloping up from the track on the two long sides and the end.",,https://pleiades.stoa.org/vocabularies/place-types/stadion
state,state (polity),"A sovereign state ad defined by the Getty Art and Architecture Thesaurus: Political units, such as nations, that exercise and are recognized internationally as possessing sovereignty.",,https://pleiades.stoa.org/vocabularies/place-types/state
station,station (road or coastal),,,https://pleiades.stoa.org/vocabularies/place-types/station
statue,statue,"A statue as defined by the Getty Art and Architecture Thesaurus: ""Sculpture in the round, usually but not always depicting humans, animals, mythical beings, or small figure groups. Statues are relatively large in scale, being life-size, larger than life-size, or only slightly smaller than life-size.""",,https://pleiades.stoa.org/vocabularies/place-types/statue
stoa,stoa,"A stoa as defined by the Getty Art and Architecture Thesaurus: ""Structures that originated in Greek architecture, comprising freestanding colonnades or covered walkways, or long open buildings with the roof supported by one or more rows of columns parallel to the rear wall. Stoas surrounded marketplaces and sanctuaries, forming places of business and public promenade. Rooms could back onto the colonnade, and a second story was sometimes added.""",,https://pleiades.stoa.org/vocabularies/place-types/stoa
strait,strait,"A strait as defined by the Getty Art and Architecture Thesaurus: A narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water.",,https://pleiades.stoa.org/vocabularies/place-types/strait
street,street,"A street as defined by the Getty Art and Architecture Thesaurus: A road in a city, town, or village, characterized by usually being paved and comparatively wide (as opposed to a lane or alley), and generally running between two rows of houses or other buildings.",,https://pleiades.stoa.org/vocabularies/place-types/street
stupa,stupa,"A stupa as defined by the Getty Art and Architecture Thesaurus: Buddhist relic mounds of earth, brick, or stone, dominated by a hemispherical or bulbous dome set on a square or circular base and topped by a small pavilionlike structure and a spire. Stupas often serve as pilgrimage sites and symbols of the Buddha or his teachings.",,https://pleiades.stoa.org/vocabularies/place-types/stupa
subcontinent,subcontinent,"A subcontinent as defined by the Getty Art and Architecture Thesaurus: ""Land masses of great size but smaller than those generally called continents; also large subdivisions of continents having a certain geographical independence.""",,https://pleiades.stoa.org/vocabularies/place-types/subcontinent
synagogue,synagogue,"A synagogue as defined by the Getty Art and Architecture Thesaurus: Community places for the regular assembly or congregation of Jews for liturgical services, assembly, and study apart from the service of the temple; since the destruction of the temple in Jerusalem, worship at the synagogue is the sole place of public worship.",,https://pleiades.stoa.org/vocabularies/place-types/synagogue
taberna-shop,"taberna, shop","A taberna is a Roman single room shop most often covered by a barrel vault, as described in http://en.wikipedia.org/wiki/Taberna.",,https://pleiades.stoa.org/vocabularies/place-types/taberna-shop
tell,tell,A tell as defined by the Getty Art and Architecture Thesaurus: Artificial mounds consisting of the accumulation of debris from successive settlement levels; common in regions where mud brick is used.,,https://pleiades.stoa.org/vocabularies/place-types/tell
temple-2,temple,"A temple as defined by the Getty Art and Architecture Thesaurus term 300007595: ""Buildings housing places devoted to the worship of a deity or deities. In the strictest sense, it refers to the dwelling place of a deity, and thus often houses a cult image. In modern usage a temple is generally a structure, but it was originally derived from the Latin ""templum"" and historically has referred to an uncovered place affording a view of the surrounding region. For Christian or Islamic religious buildings the terms ""churches"" or ""mosques"" are generally used, but an exception is that ""temples"" is used for Protestant, as opposed to Roman Catholic, places of worship in France and some French-speaking regions.",,https://pleiades.stoa.org/vocabularies/place-types/temple-2
temple,"temple, sanctuary, shrine, monument, tomb (deprecated)","A conglomerate category inherited from the Barrington Atlas map symbology. Though widespread at present in Pleiades, this term is now deprecated in favor of individual terms for each type of site or structure (q.v.).",,https://pleiades.stoa.org/vocabularies/place-types/temple
territory,territory,"A territory as defined by Wikidata: ""an area of land under a certain jurisdiction""",,https://pleiades.stoa.org/vocabularies/place-types/territory
theatre,"theatre, theater","A theater as defined by the Getty Art and Architecture Thesaurus: ""Buildings having a stage or projection screen for the presentation of dramatic performances and providing seating areas for spectators.""",,https://pleiades.stoa.org/vocabularies/place-types/theatre
tomb,tomb,"A tomb as defined by the Getty Art and Architecture Thesaurus term 300005926: ""Elaborations constructed over or around burial sites.""",,https://pleiades.stoa.org/vocabularies/place-types/tomb
tower-division,tower (building division),"A tower that is part of a larger structure as defined by the Getty Art and Architecture Thesaurus: Parts of buildings with walls rising considerably above the rest, usually with vertical proportions, and to some extent architecturally distinct.",,https://pleiades.stoa.org/vocabularies/place-types/tower-division
tower-church,tower (church),A church tower as defined by the Getty Art and Architecture Thesaurus: Towers attached to churches.,,https://pleiades.stoa.org/vocabularies/place-types/tower-church
tower-defensive,tower (defensive),A defensive tower as as defined by the Getty Art and Architecture Thesaurus: Towers used specifically for defense purposes.,,https://pleiades.stoa.org/vocabularies/place-types/tower-defensive
tower-gate,tower (gate),"A gate tower as defined by the Getty Art and Architecture Thesaurus: Towers containing and protecting gates, as to fortresses or walled cities.",,https://pleiades.stoa.org/vocabularies/place-types/tower-gate
tower-single,tower (single),A single tower as defined by the Getty Art and Architecture Thesaurus: Detached or isolated buildings or other structures high in proportion to their lateral dimensions.,,https://pleiades.stoa.org/vocabularies/place-types/tower-single
tower-wall,tower (wall),"A wall tower as defined by the Getty Art and Architecture Thesaurus: Towers incorporated into a protective wall, such as the wall around a city or castle.",,https://pleiades.stoa.org/vocabularies/place-types/tower-wall
tower-mill,tower mill,"A tower mill as defined by the Getty Art and Architecture Thesaurus: Windmills having the form of a masonry tower, atop which are positioned a rotating cap and the sails.",,https://pleiades.stoa.org/vocabularies/place-types/tower-mill
tower-tomb,tower tomb,"A tower-tomb as defined by the Getty Art and Architecture Thesaurus: Used to designate ancient Roman funerary structures of several stories usually rising from a stepped square or rectangular base and topped by a pyramidal, domical, or flat roof.",,https://pleiades.stoa.org/vocabularies/place-types/tower-tomb
townhouse,townhouse,"Designation for a private residence or individual mixed-use residential and commercial complex within a planned urban environment. A townhouse abuts neighboring residences, either directly through party-walls or indirectly through lot-edges or shared alleys.",,https://pleiades.stoa.org/vocabularies/place-types/townhouse
treasure-house,"treasure house, treasury","A treasure house as defined by the Getty Art and Architecture Thesaurus: ""Buildings in which money or other valuables are stored, usually of relatively modest size and used for historical buildings. Examples are found in Classical Greece and Rome.""",,https://pleiades.stoa.org/vocabularies/place-types/treasure-house
treasury,treasury (deprecated),,,https://pleiades.stoa.org/vocabularies/place-types/treasury
tree,tree,"A tree as defined by the Getty Art and Architecture Thesaurus: ""Woody, perennial plants usually with a single, long, self-supporting stem or trunk, and which grow to a considerable height.""",,https://pleiades.stoa.org/vocabularies/place-types/tree
tribus,"tribus, Roman voting assembly",,,https://pleiades.stoa.org/vocabularies/place-types/tribus
trophy,"trophy, tropaion","A trophy as defined in Wikidata: ""Greco-Roman monument celebrating victory""",,https://pleiades.stoa.org/vocabularies/place-types/trophy
tumulus,tumulus,,,https://pleiades.stoa.org/vocabularies/place-types/tumulus
tunnel,tunnel,,,https://pleiades.stoa.org/vocabularies/place-types/tunnel
undefined,undefined,,,https://pleiades.stoa.org/vocabularies/place-types/undefined
underground-structures,underground structures,"Equivalent to Getty AAT category ""underground structures"" aat: 300008047.",,https://pleiades.stoa.org/vocabularies/place-types/underground-structures
unknown,unknown,,,https://pleiades.stoa.org/vocabularies/place-types/unknown
unlocated,unlocated,,,https://pleiades.stoa.org/vocabularies/place-types/unlocated
urban,urban area,,,https://pleiades.stoa.org/vocabularies/place-types/urban
valley,valley,,,https://pleiades.stoa.org/vocabularies/place-types/valley
vicus,vicus,"Small, rural farming settlement of the high Roman empire and later periods, often associated with a villa.",,https://pleiades.stoa.org/vocabularies/place-types/vicus
villa,villa,"A villa as defined by the Getty Art and Architecture Thesaurus: Used since the Roman period to designate country houses, generally of some pretension, and often including their outbuildings and gardens.",,https://pleiades.stoa.org/vocabularies/place-types/villa
volcano,volcano,"A volcano as defined by the Getty Art and Architecture Thesaurus: Vents in the crust of the Earth or other planet or satellite, from which issue eruptions of molten rock, hot rock fragments, and hot gases.",,https://pleiades.stoa.org/vocabularies/place-types/volcano
wall-2,wall,"A wall as defined by the Getty Art and Architecture Thesaurus, term 300002469: Vertical architectural members used to define and divide spaces.",,https://pleiades.stoa.org/vocabularies/place-types/wall-2
defensive-wall,wall (defensive),A defensive wall as defined by the Getty Art and Architecture Thesaurus: all sorts of walls constructed to resist attack.,,https://pleiades.stoa.org/vocabularies/place-types/defensive-wall
interior-wall,wall (interior),An interior wall as defined by the Getty Art and Architecture Thesaurus: Walls having two interior faces and existing entirely within the exterior walls.,,https://pleiades.stoa.org/vocabularies/place-types/interior-wall
city-wall,"wall (of a city), city wall","A wall as defined by the Getty Art and Architecture Thesaurus, term 300005072: Fortification walls of cities.",,https://pleiades.stoa.org/vocabularies/place-types/city-wall
wall,"wall, earthwork (deprecated)",Deprecated type derived from a Barrington Atlas symbol.,,https://pleiades.stoa.org/vocabularies/place-types/wall
water-inland,water (inland),,,https://pleiades.stoa.org/vocabularies/place-types/water-inland
water-feature,water feature (landscaping),"A landscaped water feature as defined by the Getty Art and Architecture Thesaurus: ""passive reflective or dynamic elements in the cultural landscape that incorporate water as the primary design feature""",,https://pleiades.stoa.org/vocabularies/place-types/water-feature
wheel,water wheel,,,https://pleiades.stoa.org/vocabularies/place-types/wheel
water-open,"water, open",,,https://pleiades.stoa.org/vocabularies/place-types/water-open
watercourse,watercourse,A watercourse as defined by the Getty Art and Architecture Thesaurus: Natural or artificial well-defined channels that carry flowing water; may be either produced by the flowing water or artificially designed to carry flowing water.,,https://pleiades.stoa.org/vocabularies/place-types/watercourse
waterfall,waterfall,A waterfall as defined by the Getty Art and Architecture Thesaurus: Perpendicular or very steep descents of the water of a stream,,https://pleiades.stoa.org/vocabularies/place-types/waterfall
well,well,"A well as defined by the Getty Art and Architecture Thesaurus: ""Holes, pits, or other generally vertical excavations cored, bored, drilled, or otherwise constructed in the earth for purposes of drawing out various liquids, such as water, brine, or petroleum, or natural gas.""",,https://pleiades.stoa.org/vocabularies/place-types/well
marsh-wetland,"wetland (swamp, marsh, or bog)","A wetland is a land area that is saturated with water, either permanently or seasonally, such that it takes on the characteristics of a distinct ecosystem. Getty Art and Architecture Thesaurus: ""Large category including areas of land characterized by poor drainage, standing or slowly moving water, and as a result, an almost constant state of water-saturated soil. Wetlands include swamps, marshes, and bogs.""",,https://pleiades.stoa.org/vocabularies/place-types/marsh-wetland
whirlpool,whirlpool,,,https://pleiades.stoa.org/vocabularies/place-types/whirlpool
ziggurat,ziggurat,A ziggurat as defined by the Getty Art and Architecture Thesaurus: Ancient Mesopotamian temple towers in the form of stepped pyramids.,,https://pleiades.stoa.org/vocabularies/place-types/ziggurat
