key,term,definition,lower_bound,upper_bound,same_as
paleolithic-middle-east,Paleolithic Middle East (2600000–18000 BC) (2600000 BC - 18000 BC),"ME [[-2600000,-18000]]",2600000 BC,18000 BC,http://n2t.net/ark:/99152/p03wskdz28z
copy_of_paleolithic-middle-east,Paleolithic Middle East (2600000–18000 BC) (2600000 BC - 18000 BC),"Middle East [[-2600000,-18000]]",2600000 BC,18000 BC,http://n2t.net/ark:/99152/p03wskdz28z
stone-age-oman,Stone Age Oman (125000–3200 BC) (125000 BC - 3200 BC),"Persian Gulf [[-125000,-3200]]",125000 BC,3200 BC,
mesolithic-levant,Mesolithic Levant (18000–9500 BC) (18000 BC - 9500 BC),"Epipaleolithic-Protoneolithic Levant, Kebaran-Natufian [[-18000,-9500]]",18000 BC,9500 BC,http://n2t.net/ark:/99152/p03wskdfrrp
mesolithic-middle-east,Mesolithic Middle East (18000–9000 BC) (18000 BC - 9000 BC),"Epipaleolithic-Protoneolithic ME [[-18000,-9000]]",18000 BC,9000 BC,http://n2t.net/ark:/99152/p03wskd23gj
copy_of_mesolithic-middle-east,Mesolithic Middle East (18000–9000 BC) (18000 BC - 9000 BC),"Epipaleolithic-Protoneolithic ME [[-18000,-9000]]",18000 BC,9000 BC,http://n2t.net/ark:/99152/p03wskd23gj
mesolithic-europe-13-000-8-000-bc,"Mesolithic Europe (13,000-8,000 BC) (13000 BC - 8000 BC)","The cultural period lying between paleolithic and neolithic, as described at https://en.wikipedia.org/wiki/Mesolithic [[-13000,-8000]]",13000 BC,8000 BC,
natufian-levant,Natufian Levant (12500–9500 BC) (12500 BC - 9500 BC),"Levant [[-12500,-9500]]",12500 BC,9500 BC,
neolithic-eastern-med,"Neolithic Period in the Eastern Mediterranean (ca. 10,000-3,300 BC) (10000 BC - 3300 BC)","The so-called ""Neolithic"" or ""New Stone Age"" period as defined in the Eastern portion of the Mediterranean basin, lasting roughly from 10,000 - 3,300 BC. See further: http://ancienthistory.about.com/od/artarchaeologyarchitect/g/neolithic.htm [[-10000, -3300]]",10000 BC,3300 BC,http://n2t.net/ark:/99152/p03wskdw46d
pre-pottery-neolithic-middle-east,Pre-Pottery Neolithic Middle East (9000–6000 BC) (9000 BC - 6000 BC),"Aceramic Neolithic ME [[-9000,-6000]]",9000 BC,6000 BC,http://n2t.net/ark:/99152/p03wskdgn3q
neolithic-middle-east,Neolithic Middle East (9000–4500 BC) (9000 BC - 4500 BC),"ME [[-9000,-4500]]",9000 BC,4500 BC,http://n2t.net/ark:/99152/p03wskdjw3b
ubaid,Ubaid period in Mesopotamia (ca. 6500 to 3800 BC) (6500 BC - 3800 BC),"The prehistoric Ubaid period of Mesopotamia, as defined by Wikipedia following Carter, Robert A. and Philip, Graham Beyond the Ubaid: Transformation and Integration in the Late Prehistoric Societies of the Middle East (Studies in Ancient Oriental Civilization, Number 63) The Oriental Institute of the University of Chicago (2010) ISBN 978-1-885923-66-0 p.2, at http://oi.uchicago.edu/research/pubs/catalog/saoc/saoc63.html [[-6500, -3800]]",6500 BC,3800 BC,http://n2t.net/ark:/99152/p03wskdrkh7
chalcolithic-mesopotamia,Chalcolithic Mesopotamia (6200–3750 BC) (6200 BC - 3750 BC),"Copper Age Mesopotamia, Halaf-Ubaid-Early Uruk Mesopotamia [[-6200,-3750]]",6200 BC,3750 BC,http://n2t.net/ark:/99152/p03wskdtwrq
neolithic-egypt,Neolithic Egypt (6000-4500 BCE/BC) (6000 BC - 4500 BC),"The Neolithic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-6000, -4500]]",6000 BC,4500 BC,http://n2t.net/ark:/99152/p03wskdd2st
pottery-neolithic-middle-east,Pottery Neolithic Middle East (6000–4500 BC) (6000 BC - 4500 BC),"ME [[-6000,-4500]]",6000 BC,4500 BC,http://n2t.net/ark:/99152/p03wskdjhsq
6th-millennium-bce,6th millennium BCE (6000-5000 BCE) (6000 BC - 5000 BC),"The fifth millennium BCE as defined at http://en.wikipedia.org/wiki/5th_millennium_BC [[-6000, -5000]]",6000 BC,5000 BC,
ubaid-early-dynastic-ii-mesopotamia,Ubaid-Early Dynastic II Mesopotamia (5500–2600 BC) (5500 BC - 2600 BC),"Late Chalcolithic-ED II Mesopotamia, Ubaid-Uruk-Jemdet Nasr-ED Mesopotamia [[-5500,-2600]]",5500 BC,2600 BC,http://n2t.net/ark:/99152/p03wskdh9h2
neolithic-malta,"Neolithic Period on Malta (ca. 5,000-2,500BC) (5000 BC - 2500 BC)","The neolithic or so-called ""New Stone Age"" as expressed in remains of physical culture on the island of Malta, where it appears to have lasted from around 5,000 to 2,500 BC [[-5000, -2500]]",5000 BC,2500 BC,http://n2t.net/ark:/99152/p03wskddc9t
chalcolithic-iran,Chalcolithic Iran (5000–2500 BC) (5000 BC - 2500 BC),"Iran [[-5000,-2500]]",5000 BC,2500 BC,http://n2t.net/ark:/99152/p03wskd9szx
5th-millennium-bce,5th millennium BCE (5000-4000 BCE) (5000 BC - 4000 BC),"The fifth millennium BCE as defined at http://en.wikipedia.org/wiki/5th_millennium_BC [[-5000, -4000]]",5000 BC,4000 BC,
predynastic-egypt,Predynastic Egypt (4500-2950 BCE/BC) (4500 BC - 2950 BC),"The predynastic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-4500, -2950]]",4500 BC,2950 BC,http://n2t.net/ark:/99152/p03wskdzc7b
4th-millenium-bce,4th millennium BCE (4000-3000 BCE) (4000 BC - 3000 BC),"The fourth millennium BCE as defined at http://en.wikipedia.org/wiki/4th_millennium_BC [[-4000, -3000]]",4000 BC,3000 BC,http://n2t.net/ark:/99152/p03wskdbh6h
neolithic-british,"Neolithic Period (British Isles; 4,000-2,500 BC) (4000 BC - 2500 BC)","The Neolithic period in the British Isles, after Wikipedia, Neolithic British Isles, http://en.wikipedia.org/wiki/Neolithic_British_Isles. [[-4000, -2500]]",4000 BC,2500 BC,
uruk-mesopotamia,Uruk Mesopotamia (4000–2950 BC) (4000 BC - 2950 BC),"Protoliterate Mesopotamia [[-4000,-2950]]",4000 BC,2950 BC,
old-nubian,Old Nubian (3800–2300 BC) (3800 BC - 2300 BC),"A-Group/Old Nubian—Middle Nubian—OK [[-3800,-2300]]",3800 BC,2300 BC,http://n2t.net/ark:/99152/p03wskdm62k
calcolithic-eurasian-cenieh,Calcolithic (Eurasia: 3350-1850 BCE) (3350 BC - 1850 BC),"Centro Nacional de Investigación sobre la Evolución Humana, CENIEH",3350 BC,1850 BC,http://n2t.net/ark:/99152/p0h9ttq52p8
early-bronze-age-southern-levant,Early Bronze Age Southern Levant (3300–2000 BC) (3300 BC - 2000 BC),"southern Levant [[-3300,-2000]]",3300 BC,2000 BC,http://n2t.net/ark:/99152/p03wskdhc9m
elamite-western-iran,Elamite Western Iran (3200–540 BC) (3200 BC - 540 BC),"Proto—Old—Middle—Neo-Elamite [[-3200,-540]]",3200 BC,540 BC,http://n2t.net/ark:/99152/p03wskddbqj
early-minoan,Early Minoan (Crete; 3100-2000 BC) (3100 BC - 2000 BC),"Early Minoan period on Crete, after Shelmerdine, The Cambridge Companion to the Aegean Bronze Age, Cambridge UP, 2008. PeriodO URI: http://n2t.net/ark:/99152/p0qp9rs8fgh. [[-3100,-2000]]",3100 BC,2000 BC,
cycladic-early,Early Cycladic (3100-2000 BCE) (3100 BC - 2000 BC),The Early Cycladic period as defined by The British School at Athens: archaeological periods of Greece. 2022,3100 BC,2000 BC,http://n2t.net/ark:/99152/p0ds9qjd2xr
early-helladic,Early Helladic (Mainland Greece; 3000-2000 BC) (3000 BC - 2000 BC),"The Early Helladic period in the Greek mainland, after Preziosi and Hitchcock, Aegean Art and Architecture, Oxford History of Art, 1998. [[-3000,-2000]]",3000 BC,2000 BC,
3rd-millennium-bc,3rd millennium BC (3000-2000 BCE) (3000 BC - 2000 BC),"The 3rd millennium BC spans the Early to Middle Bronze Age. As described at http://en.wikipedia.org/wiki/3rd_millennium_BC. [[-3000, -2000]]",3000 BC,2000 BC,http://n2t.net/ark:/99152/p03wskdvwkb
early-dynastic-egypt,Early Dynastic Egypt (2950-2670 BCE/BC) (2950 BC - 2670 BC),"The Early Dynastic period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2950, -2670]]",2950 BC,2670 BC,
early-dynastic-mesopotamia,Early Dynastic Mesopotamia (2950–2350 BC) (2950 BC - 2350 BC),"Mesopotamia [[-2950,-2350]]",2950 BC,2350 BC,http://n2t.net/ark:/99152/p03wskdsdnb
old-kingdom-egypt,Old Kingdom Egypt (2670-2168 BCE/BC) (2670 BC - 2168 BC),"The Old Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2670, -2168]]",2670 BC,2168 BC,http://n2t.net/ark:/99152/p03wskdgmtf
bronze-age-oman,Bronze Age Oman (2600–1900 BC) (2600 BC - 1900 BC),"Persian Gulf [[-2600,-1900]]",2600 BC,1900 BC,
bronze-age-britain,Bronze Age Britain (ca. 2500 - ca. 800 BC/BCE) (2500 BC - 800 BC),"A long time period associated with Bronze Age Britain. [[-2500, -800]]",2500 BC,800 BC,http://n2t.net/ark:/99152/p03wskdfd83
bronze-age-malta,"Bronze Age Malta (ca. 2,500-700 BC) (2500 BC - 700 BC)","The Bronze age as represented in the remains of physical culture from the island of Malta. [[-2500, -700]]",2500 BC,700 BC,http://n2t.net/ark:/99152/p03wskdjqsh
early-bronze-age-iran,Early Bronze Age Iran (2500–2000 BC) (2500 BC - 2000 BC),"Jiroft [[-2500,-2000]]",2500 BC,2000 BC,
early-middle-bronze-age-iran,Early-Middle Bronze Age Iran (2500–1500 BC) (2500 BC - 1500 BC),"Iran [[-2500,-1500]]",2500 BC,1500 BC,http://n2t.net/ark:/99152/p03wskdwdtr
akkadian-ur-iii-mesopotamia,Akkadian-Ur III Mesopotamia (2335–2000 BC) (2335 BC - 2000 BC),"Akkadian—Neo-Sumerian Mesopotamia [[-2335,-2000]]",2335 BC,2000 BC,http://n2t.net/ark:/99152/p03wskdbvmg
middle-nubian,Middle Nubian (2300–1600 BC) (2300 BC - 1600 BC),"C-Group—Kerma—Middle Nubian—Pan-Grave—MK [[-2300,-1600]]",2300 BC,1600 BC,http://n2t.net/ark:/99152/p03wskdc5xs
bronze-ireland,Bronze Age Ireland (2200-800 BCE) (2199 BC - 800 BC),"The Bronze Age in Ireland as defined by Neil Carlin et al. ""Archaeological periods for the island of Ireland"" for ARIADNE",2199 BC,800 BC,http://n2t.net/ark:/99152/p06hps8vvgz
first-intermediate-period-egypt,First Intermediate Period Egypt (2168-2010 BCE/BC) (2168 BC - 2010 BC),"The First Intermediate Period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2168, -2010]]",2168 BC,2010 BC,http://n2t.net/ark:/99152/p03wskdxjnj
transition-early-middle-bronze-age-southern-levant,Transition Early-Middle Bronze Age Southern Levant (2100–1900 BC) (2100 BC - 1900 BC),"southern Levant [[-2100,-1900]]",2100 BC,1900 BC,http://n2t.net/ark:/99152/p03wskd5mwr
middle-kingdom-egypt,Middle Kingdom Egypt (2010-1640 BCE/BC) (2010 BC - 1640 BC),"The Middle Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-2010, -1640]]",2010 BC,1640 BC,http://n2t.net/ark:/99152/p03wskdgq4n
2nd-millenium-bce,2nd Millennium BCE (2000-1000 BCE) (2000 BC - 1000 BC),"The second millennium BCE as defined at http://en.wikipedia.org/wiki/2nd_millennium_BC [[-2000, -1000]]",2000 BC,1000 BC,http://n2t.net/ark:/99152/p03wskd4mmt
middle-helladic,Middle Helladic (Mainland Greece; 2000-1600 BC) (2000 BC - 1600 BC),"The Middle Helladic period in the Greek mainland, after Preziosi and Hitchcock, Aegean Art and Architecture, Oxford History of Art, 1998. [[-2000, -1600]]",2000 BC,1600 BC,
early-bronze-age-anatolia,Early Bronze Age Anatolia (2000–1750 BC) (2000 BC - 1750 BC),"Karum Anatolia [[-2000,-1750]]",2000 BC,1750 BC,http://n2t.net/ark:/99152/p03wskdnzgc
old-babylonian-assyrian-mesopotamia,Old Babylonian/Assyrian Mesopotamia (2000–1600 BC) (2000 BC - 1600 BC),"Mesopotamia [[-2000,-1600]]",2000 BC,1600 BC,http://n2t.net/ark:/99152/p03wskdr7sw
middle-bronze-age-iran,Middle Bronze Age Iran (2000–1500 BC) (2000 BC - 1500 BC),"Iran [[-2000,-1500]]",2000 BC,1500 BC,http://n2t.net/ark:/99152/p03wskdwdtr
middle-bronze-age-southern-levant,Middle Bronze Age Southern Levant (2000–1400 BC) (2000 BC - 1400 BC),"southern Levant [[-2000,-1400]]",2000 BC,1400 BC,http://n2t.net/ark:/99152/p03wskdqzgv
2nd-millennium-bc-egypt,2nd Millennium BC Egypt (2000–1000 BC) (2000 BC - 1000 BC),"Egypt [[-2000,-1000]]",2000 BC,1000 BC,http://n2t.net/ark:/99152/p03wskdnxfq
2nd-millennium-bc-levant,2nd Millennium BC Levant (2000–1000 BC) (2000 BC - 1000 BC),"MBA Levant-LBA Levant-Iron Age I Levant [not sure as these are all taken from southern Levant periodisation] [[-2000,-1000]]",2000 BC,1000 BC,
middle-bronze-early-iron-age-iran,Middle Bronze-Early Iron Age Iran (2000–650 BC) (2000 BC - 650 BC),"Iran [[-2000,-650]]",2000 BC,650 BC,http://n2t.net/ark:/99152/p03wskdc6nf
middleminoan,Middle Minoan (Crete; 2000-1600 BC/BCE) (2000 BC - 1600 BC),"The Middle Minoan period on Crete, as defined in C. Shelmerdine, The Cambridge Companion to the Aegean Bronze Age (2008), p. 4, figure 1.1. [[-2000,-1600]]",2000 BC,1600 BC,http://n2t.net/ark:/99152/p03wskdtg2h
cycladic-middle,Middle Cycladic (2000-1600 BCE) (2000 BC - 1600 BC),The Middle Cycladic Period as defined by The British School at Athens: archaeological periods of Greece. 2022.,2000 BC,1600 BC,http://n2t.net/ark:/99152/p0ds9qjv6nb
bronze-eurasian-cenieh,Bronze Age (Eurasia: 1850-1150 BCE) (1850 BC - 1150 BC),"The Bronze Age in Eurasia as defined by the Centro Nacional de Investigación sobre la Evolución Humana, CENIEH",1850 BC,1150 BC,http://n2t.net/ark:/99152/p0h9ttqdnzk
middle-bronze-age-anatolia,Middle Bronze Age Anatolia (1750–1450 BC) (1750 BC - 1450 BC),"Anatolia [[-1750,-1450]]",1750 BC,1450 BC,http://n2t.net/ark:/99152/p03wskd82ps
copy_of_middle-bronze-age-anatolia,Middle Bronze Age Anatolia (1750–1450 BC) (1750 BC - 1450 BC),"Anatolia [[-1750,-1450]]",1750 BC,1450 BC,http://n2t.net/ark:/99152/p03wskd82ps
sicilian-bronze-advanced,Bronze Age in Sicily (Advanced: 1700-1400 BCE)) (1700 BC - 1400 BC),As defined by the Mursia Pantelleria Project (University of Bologna),1700 BC,1400 BC,
bronze-middle-iberia,Middle Bronze Age in Iberia (1700-1201 BCE) (1700 BC - 1201 BC),The Middle Bronze Age as defined by the Ariadne network via PeriodO,1700 BC,1201 BC,http://n2t.net/ark:/99152/p0qhb66z4gr
old-hittite-anatolia,Old Hittite Anatolia (1650–1450 BC) (1650 BC - 1450 BC),"Old-Middle Kingdom Hittite [[-1650,-1450]]",1650 BC,1450 BC,
second-intermediate-period-egypt,Second Intermediate Period Egypt (1640-1548) (1640 BC - 1548 BC),"The Second Intermediate period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1640, -1548]]",1640 BC,1548 BC,http://n2t.net/ark:/99152/p03wskdzd99
late-helladic,Late Helladic (Mainland Greece; 1600-1200 BC) (1600 BC - 1200 BC),"The Late Helladic period in the Greek mainland, after Preziosi and Hitchcock, Aegean Art and Architecture, Oxford History of Art, 1998. [[-1600, -1200]]",1600 BC,1200 BC,http://n2t.net/ark:/99152/p03wskdrx4h
later-2nd-millennium-bc-mesopotamia,Later 2nd Millennium BC Mesopotamia (1600–1000 BC) (1600 BC - 1000 BC),"Middle Assyrian/Middle Babylonian/Kassite Mesopotamia, LBA-Early Iron Age Mesopotamia, incl. Sea Peoples [[-1600,-1000]]",1600 BC,1000 BC,http://n2t.net/ark:/99152/p03wskdfpqr
late-nubian,Late Nubian (1600–350 BC) (1600 BC - 350 BC),"NK-Kushite-Meroitic [[-1600,-350]]",1600 BC,350 BC,http://n2t.net/ark:/99152/p03wskdfnrs
late-bronze-age-anatolia,Late Bronze Age Anatolia (1600-1200 BC) (1600 BC - 1200 BC),"Late Bronze Age Anatolia [[-1600,-1200]]",1600 BC,1200 BC,
late-minoan,Late Minoan (Crete; 1600-1080 BC/BCE) (1600 BC - 1080 BC),"The Late Minoan period on Crete, as defined in C. Shelmerdine, The Cambridge Companion to the Aegean Bronze Age (2008), p. 4. PeriodO URI: http://n2t.net/ark:/99152/p0qp9rssm67. [[-1600,-1080]]",1600 BC,1080 BC,
cycladic-late,Late Cycladic (1600 - 1080 BCE) (1600 BC - 1080 BC),The Late Cycladic Period as defined by The British School at Athens: archaeological periods of Greece. 2022.,1600 BC,1080 BC,http://n2t.net/ark:/99152/p0ds9qjp52w
sixteenth-bce,sixteenth century before the common era (1600 BC - 1501 BC),,1600 BC,1501 BC,
new-kingdom-egypt,New Kingdom Egypt (1548-1086) (1548 BC - 1086 BC),"The New Kingdom period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1548, -1086]]",1548 BC,1086 BC,http://n2t.net/ark:/99152/p03wskddb3j
late-bronze-age-iran,Late Bronze Age Iran (1500–1000 BC) (1500 BC - 1000 BC),"Iran [[-1500,-1000]]",1500 BC,1000 BC,
fifteenth-bce,fifteenth century before the common era (1500 BC - 1401 BC),,1500 BC,1401 BC,
middle-hittite-anatolia,Middle Hittite Anatolia (1450–1200 BC) (1450 BC - 1200 BC),"New Kingdom Hittite [[-1450,-1200]]",1450 BC,1200 BC,http://n2t.net/ark:/99152/p03wskdcmjz
late-bronze-age-southern-levant,Late Bronze Age Southern Levant (1400–1200 BC) (1400 BC - 1200 BC),"southern Levant [[-1400,-1200]]",1400 BC,1200 BC,
ugaritic,Ugaritic floruit (1400-1100 BCE) (1400 BC - 1100 BC),The period during which the Ugaritic language was used and written.,1400 BC,1100 BC,
fourteenth-bce,fourteenth century before the common era (1400 BC - 1301 BC),,1400 BC,1301 BC,
egyptian-hittite-levant,Egyptian/Hittite Levant (1344–1212 BC) (1344 BC - 1212 BC),"Levant [[-1344,-1212]]",1344 BC,1212 BC,http://n2t.net/ark:/99152/p03wskd6hw5
thirteenth-bce,thirteenth century before the common era (1300 BC - 1201 BC),,1300 BC,1201 BC,
early-iron-age-anatolia,Early Iron Age Anatolia (1200–700 BC) (1200 BC - 700 BC),"incl. Mitanni [[-1200,-700]]",1200 BC,700 BC,http://n2t.net/ark:/99152/p03wskdm4tb
neo-hittite-northern-levant,Neo-Hittite Northern Levant (1200–700 BC) (1200 BC - 700 BC),"Syro-Hittite Northern Levant [[-1200,-700]]",1200 BC,700 BC,http://n2t.net/ark:/99152/p03wskdv8qb
1200-bc-middle-east,1200 BC Middle East (1200 BC - 1199 BC),"ME, Greece [[-1200, -1199]]",1200 BC,1199 BC,http://n2t.net/ark:/99152/p03wskdnjq5
iron-age-southern-levant,Iron Age Southern Levant (1200 BC - 550 BC),"[[-1200,-550]]",1200 BC,550 BC,http://n2t.net/ark:/99152/p03wskdxvtv
bronze-late-iberia,Late Bronze Age in Iberia (1200-801 BCE) (1200 BC - 801 BC),The Late Bronze Age as defined by the Ariadne network via PeriodO,1200 BC,801 BC,http://n2t.net/ark:/99152/p0qhb669k7t
twelfth-bce,twelfth century before the common era (1200 BC - 1101 BC),,1200 BC,1101 BC,
eleventh-bce,eleventh century before the common era (1100 BC - 1001 BC),,1100 BC,1001 BC,
third-intermediate-period-egypt,Third Intermediate Period Egypt (1086-664) (1086 BC - 664 BC),"The Third Intermediate period in Egypt, following the chronology of the UCLA Encyclopedia of Egyptology (compiled by Thomas Schneider): http://www.uee.ucla.edu/contributors/chronology.htm. [[-1086, -664]]",1086 BC,664 BC,http://n2t.net/ark:/99152/p03wskdmzfr
early-iron-age-iran,Early Iron Age Iran (1000–650 BC) (1000 BC - 650 BC),"Pre-Classical Antiquity [[-1000,-650]]",1000 BC,650 BC,
iron-age-italy-latial-culture-i-1000-900-bc,"Iron Age Italy (Latial Culture I, 1000-900 BC) (1000 BC - 900 BC)","Latial I is concentrated around Rome, the Alban Hills, and the Monti della Tolfa. [[-1000, -900]]",1000 BC,900 BC,http://n2t.net/ark:/99152/p03wskdk2k5
early-1st-millennium-mesopotamia,Early 1st Millennium BC Mesopotamia (1000-720 BC) (1000 BC - 720 BC),Period as defined by Jamie Novotny,1000 BC,720 BC,
1st-millennium-bce,1st Millennium BCE (1000-1 BCE) (1000 BC - 1 BC),"The first millennium BCE as defined at https://en.wikipedia.org/wiki/1st_millennium_BC [[-1000, -1]]",1000 BC,1 BC,
tenth-bce,tenth century before the common era (1000 BC - 901 BC),,1000 BC,901 BC,
early-geometric,Early Geometric (Greek; 900-850 BC) (900 BC - 850 BC),"The Early Geometric period in ancient Greece, from 900-850 before the birth of Christ",900 BC,850 BC,http://n2t.net/ark:/99152/p03wskdr3vd
urartian-eastern-anatolia,Urartian Eastern Anatolia (900–600 BC) (900 BC - 600 BC),"eastern Anatolia [[-900,-600]]",900 BC,600 BC,http://n2t.net/ark:/99152/p03wskd29mn
castro-culture-iron-age-ca.-900-bc-100-bc,"Castro Culture (Iron Age, ca. 900 BC - 100 BC) (900 BC - 100 BC)","The Castro Culture is an archaeological term describing the material culture of Celtic peoples of the Iberian peninsula during the first millennium BC, as described at https://en.wikipedia.org/wiki/Castro_culture. [[-900,-100]]",900 BC,100 BC,
